,avg_duration,min_duration,max_duration,std_duration,memory_correlation,cpu_correlation,config_count
f10,997.5431177446103,623.0,5851.0,612.2640035133862,-0.5519173957367349,-0.5043566504346739,1206.0
f11,2871.257048092869,1908.0,9517.0,657.4796646150594,-0.17607207415777404,-0.1605541459513827,1206.0
f12,487.7089552238806,253.0,3295.0,335.87172396804016,-0.5853874614929565,-0.5442079347786114,1206.0
f13,682.7495854063018,486.0,3678.0,390.4025799608996,-0.5509734915622223,-0.5001013775010892,1206.0
f14,575.7338308457712,291.0,3317.0,357.24752018689526,-0.5482616298812271,-0.4981649313082071,1206.0
f15,2747.228855721393,1909.0,8334.0,553.774339361418,-0.4232070819711402,-0.3524629059696806,1206.0
f16,2880.8573797678278,765.0,27224.0,3133.726283377154,-0.6922114947759674,-0.6357602663525996,1206.0
f17,292.2562189054726,207.0,1611.0,161.82607883571114,-0.5265097701994095,-0.47247021773535774,1206.0
f18,476.69983416252074,251.0,3165.0,295.2603277520553,-0.5339146827207452,-0.48193298843239146,1206.0
f19,999.1235489220563,700.0,5548.0,592.8362489499079,-0.5532573396666882,-0.5031391533946682,1206.0
f1,3102.5066334991707,2339.0,12798.0,943.7700567084192,-0.3783337966014674,-0.2991687540691573,1206.0
f20,1861.0074626865671,1317.0,5067.0,336.872887598131,0.029057794720841468,0.011543098950908067,1206.0
f21,516.1401326699835,393.0,2897.0,301.9994911168035,-0.5454559547467851,-0.4930075244368233,1206.0
f2,524.4295190713101,401.0,2938.0,302.8635932949845,-0.5448330881096337,-0.4933015625468489,1206.0
f3,742.8996683250415,459.0,4420.0,457.3433930364785,-0.5476000556083354,-0.4971583014381857,1206.0
f4,499.00912106135985,276.0,3384.0,317.92961675556205,-0.5637441714251383,-0.5275471370297857,1206.0
f5,165.73217247097844,75.0,964.0,101.56885634971557,-0.4773355735182372,-0.4290536976538938,1206.0
f6,416.2844112769486,294.0,2362.0,237.123861957337,-0.5425704597122445,-0.4917843224569246,1206.0
f7,358.7247097844113,257.0,1942.0,200.76384525580679,-0.5437399927360772,-0.49114949291608895,1206.0
f8,427.0232172470978,231.0,2458.0,254.0274389893086,-0.5460448084086625,-0.49500027832637833,1206.0
f9,581.4776119402985,447.0,3142.0,330.5425372047595,-0.5446007350587989,-0.4962992970281471,1206.0
